item,serial_number,Model,appraisal_value,item_description,category,remarks
challenge,9611745192,Multi-lateral,6649,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,3,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
Reactive,2848748664,Networked,24799,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,5,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio
Graphic Interface,6433711650,orchestration,39985,id turpis integer aliquet massa id lobortis convallis tortor risus,1,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
grid-enabled,6973571883,dedicated,4199,phasellus id sapien in sapien iaculis congue vivamus metus arcu,3,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
Virtual,5996377454,projection,22320,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,2,semper sapien a libero nam dui proin leo odio porttitor id
non-volatile,2211370950,full-range,13581,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,3,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
intermediate,9100700177,6th generation,47264,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,4,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
support,1077017278,Face to face,6833,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,5,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
approach,0557139899,info-mediaries,41710,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,3,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
Enhanced,0585365970,mission-critical,47417,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,3,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie
disintermediate,7436100599,Configurable,47892,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,3,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in
neutral,7367297988,cohesive,30662,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,4,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh
multimedia,3894632291,solution-oriented,47528,lobortis sapien sapien non mi integer ac neque duis bibendum,2,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
Function-based,6308333441,Customer-focused,49707,praesent lectus vestibulum quam sapien varius ut blandit non interdum in,5,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
utilisation,7152846332,Universal,40392,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,1,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend
algorithm,4061765299,coherent,16517,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,2,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in
responsive,1529634458,customer loyalty,33807,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,3,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
analyzing,4886932940,Object-based,5146,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,4,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
clear-thinking,2304400361,protocol,22362,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,5,ligula sit amet eleifend pede libero quis orci nullam molestie
core,9577266568,capacity,49522,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,3,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
intranet,6448521585,ability,24164,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,4,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
Re-contextualized,4373043221,secured line,33407,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,2,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
Total,8293707569,explicit,13120,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,5,est congue elementum in hac habitasse platea dictumst morbi vestibulum
Ameliorated,8094191201,well-modulated,48471,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,5,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
zero defect,3398263135,6th generation,23281,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,3,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
bandwidth-monitored,0272303879,Configurable,35230,id turpis integer aliquet massa id lobortis convallis tortor risus,1,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
Decentralized,9581202765,Diverse,8847,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,5,morbi quis tortor id nulla ultrices aliquet maecenas leo odio
Secured,0388875259,composite,12729,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,3,ac lobortis vel dapibus at diam nam tristique tortor eu
Ergonomic,3844915109,impactful,30634,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,4,convallis duis consequat dui nec nisi volutpat eleifend donec ut
user-facing,0329669060,extranet,9482,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,3,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
local area network,9955809604,Operative,48833,vel sem sed sagittis nam congue risus semper porta volutpat quam pede,1,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
functionalities,9284375185,dynamic,8162,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,4,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
User-friendly,0205832628,moderator,9886,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,3,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
Fundamental,3029111164,success,40877,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,3,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
dedicated,6414452971,asymmetric,27121,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,1,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
Fully-configurable,9519543252,Streamlined,11403,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,1,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem
Cross-group,2151015548,bi-directional,29171,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,1,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
intranet,2521176281,infrastructure,7334,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,4,dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
holistic,0973921552,Open-source,4049,non interdum in ante vestibulum ante ipsum primis in faucibus orci,3,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
Networked,1976932750,interactive,21572,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,5,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
Cross-group,7183379582,impactful,6343,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,2,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet
paradigm,0745364209,scalable,1776,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,2,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent
intranet,8766468183,Realigned,47035,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,2,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
workforce,7610852600,asynchronous,40191,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,2,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis
frame,0327500492,grid-enabled,17113,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,3,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
software,7557502604,Open-source,48206,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,1,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
conglomeration,7665157645,reciprocal,25945,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,3,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
heuristic,9640918342,portal,19844,donec vitae nisi nam ultrices libero non mattis pulvinar nulla,5,sit amet justo morbi ut odio cras mi pede malesuada
Decentralized,6082296761,neutral,35486,in faucibus orci luctus et ultrices posuere cubilia curae nulla,2,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
support,7068803849,structure,27709,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,4,purus sit amet nulla quisque arcu libero rutrum ac lobortis
holistic,0968638996,foreground,3152,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,1,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
service-desk,4174388245,Optional,17105,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,2,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci
methodology,3605339050,secondary,13293,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,4,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
fault-tolerant,5245592282,Mandatory,26237,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,5,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
Organized,1297365062,Multi-layered,30137,viverra eget congue eget semper rutrum nulla nunc purus phasellus in,4,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
solution-oriented,4074814781,challenge,40387,nam nulla integer pede justo lacinia eget tincidunt eget tempus,4,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
human-resource,4911141840,asymmetric,38159,a suscipit nulla elit ac nulla sed vel enim sit amet,4,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat
Re-engineered,2915529965,Optimized,41537,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,1,at turpis donec posuere metus vitae ipsum aliquam non mauris
Open-architected,4191084763,Cross-group,8040,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,5,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
core,3758670144,web-enabled,46986,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
policy,4442610649,middleware,13709,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu
Phased,1082732915,web-enabled,9607,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,3,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida
local area network,5550386127,mobile,42300,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,5,urna ut tellus nulla ut erat id mauris vulputate elementum
24/7,7100953588,Reverse-engineered,40539,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,1,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
foreground,2346852325,extranet,7787,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,5,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
superstructure,2031456172,attitude,24516,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,5,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
Focused,4702857800,Polarised,29437,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,4,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea
